,train,train_label,val,val_label,test,test_label
0,dog.3533.jpg,1,cat.10261.jpg,0,dog.1618.jpg,1
1,cat.11251.jpg,0,cat.3156.jpg,0,dog.3239.jpg,1
2,cat.668.jpg,0,dog.886.jpg,1,dog.147.jpg,1
3,dog.11182.jpg,1,cat.8714.jpg,0,dog.4822.jpg,1
4,dog.7364.jpg,1,cat.1207.jpg,0,dog.3007.jpg,1
5,dog.3696.jpg,1,dog.6087.jpg,1,cat.4142.jpg,0
6,dog.6095.jpg,1,dog.3229.jpg,1,cat.8346.jpg,0
7,dog.8248.jpg,1,cat.10458.jpg,0,cat.8152.jpg,0
8,cat.7302.jpg,0,cat.951.jpg,0,cat.8973.jpg,0
9,dog.1100.jpg,1,dog.7534.jpg,1,cat.793.jpg,0
10,cat.6786.jpg,0,cat.6799.jpg,0,dog.1245.jpg,1
11,cat.1906.jpg,0,dog.8167.jpg,1,cat.7999.jpg,0
12,cat.1759.jpg,0,cat.5259.jpg,0,dog.9511.jpg,1
13,cat.12294.jpg,0,cat.1208.jpg,0,cat.8177.jpg,0
14,dog.2013.jpg,1,cat.10738.jpg,0,cat.4048.jpg,0
15,dog.11880.jpg,1,cat.5315.jpg,0,cat.7029.jpg,0
16,cat.10534.jpg,0,dog.6728.jpg,1,dog.221.jpg,1
17,cat.5748.jpg,0,cat.1577.jpg,0,dog.4391.jpg,1
18,dog.11624.jpg,1,dog.9124.jpg,1,cat.4457.jpg,0
19,dog.10757.jpg,1,cat.558.jpg,0,dog.899.jpg,1
20,cat.1831.jpg,0,dog.6498.jpg,1,cat.2003.jpg,0
21,cat.7153.jpg,0,cat.2939.jpg,0,dog.1110.jpg,1
22,dog.6602.jpg,1,dog.11158.jpg,1,cat.2215.jpg,0
23,dog.8598.jpg,1,dog.7705.jpg,1,cat.7597.jpg,0
24,cat.4742.jpg,0,cat.7305.jpg,0,dog.516.jpg,1
25,cat.2566.jpg,0,dog.11612.jpg,1,dog.5495.jpg,1
26,dog.9791.jpg,1,dog.12349.jpg,1,cat.9279.jpg,0
27,cat.2982.jpg,0,dog.10307.jpg,1,dog.576.jpg,1
28,cat.6092.jpg,0,cat.256.jpg,0,dog.3242.jpg,1
29,dog.2228.jpg,1,cat.6014.jpg,0,dog.6233.jpg,1
30,dog.5912.jpg,1,dog.12397.jpg,1,dog.8061.jpg,1
31,dog.2764.jpg,1,cat.1023.jpg,0,dog.3689.jpg,1
32,cat.7207.jpg,0,dog.11113.jpg,1,dog.7523.jpg,1
33,cat.5471.jpg,0,cat.1921.jpg,0,dog.2599.jpg,1
34,dog.2327.jpg,1,dog.9619.jpg,1,dog.5069.jpg,1
35,cat.4137.jpg,0,cat.5443.jpg,0,cat.3482.jpg,0
36,cat.6702.jpg,0,dog.673.jpg,1,dog.11872.jpg,1
37,cat.3260.jpg,0,cat.7067.jpg,0,cat.12343.jpg,0
38,cat.8690.jpg,0,dog.986.jpg,1,dog.5082.jpg,1
39,cat.10072.jpg,0,cat.5661.jpg,0,cat.1971.jpg,0
40,cat.9023.jpg,0,cat.6677.jpg,0,dog.1414.jpg,1
41,cat.733.jpg,0,cat.7404.jpg,0,cat.6097.jpg,0
42,dog.1730.jpg,1,cat.2920.jpg,0,cat.5545.jpg,0
43,cat.7552.jpg,0,cat.5834.jpg,0,cat.10699.jpg,0
44,cat.7022.jpg,0,dog.11073.jpg,1,dog.10910.jpg,1
45,cat.1704.jpg,0,cat.3179.jpg,0,dog.55.jpg,1
46,dog.8548.jpg,1,cat.723.jpg,0,cat.3728.jpg,0
47,dog.2414.jpg,1,cat.3560.jpg,0,dog.2090.jpg,1
48,dog.6308.jpg,1,dog.5547.jpg,1,cat.6158.jpg,0
49,cat.6332.jpg,0,dog.15.jpg,1,dog.10703.jpg,1
50,cat.4384.jpg,0,dog.3249.jpg,1,cat.11105.jpg,0
51,dog.5795.jpg,1,cat.11582.jpg,0,dog.6220.jpg,1
52,dog.4043.jpg,1,dog.10903.jpg,1,dog.2999.jpg,1
53,dog.1268.jpg,1,cat.9660.jpg,0,dog.3981.jpg,1
54,dog.3268.jpg,1,cat.1558.jpg,0,cat.5686.jpg,0
55,cat.9529.jpg,0,cat.10958.jpg,0,dog.4053.jpg,1
56,cat.429.jpg,0,dog.6414.jpg,1,cat.10649.jpg,0
57,cat.3763.jpg,0,dog.3191.jpg,1,dog.9848.jpg,1
58,dog.3446.jpg,1,cat.5695.jpg,0,dog.4244.jpg,1
59,dog.11633.jpg,1,dog.5587.jpg,1,cat.2819.jpg,0
